"Country","Latitude (average)","Longitude (average)"
"Baden-Württemberg","48.6296972","9.1949534"
"Bavaria","48.790447","11.497889"
"Berlin","52.5170365","13.3888599"
"Brandenburg","52.8455492","13.2461296"
"Bremen","53.0758196","8.8071646"
"Hamburg","53.5437641","10.0099133"
"Hessen","50.6118537","9.1909725"
"Lower Saxony","52.8398531","52.8398531"
"Mecklenburg-Vorpommern","53.7735064","12.5755471"
"North Rhine-Westphalia","51.4781796","7.5542336"
"Rhineland-Palatinate","49.9531599","7.310646"
"Saarland","49.396423","7.022961"
"Saxony","50.9295798","13.4585052"
"Saxony-Anhalt","51.908526","11.4939134"
"Schleswig-Holstein","54.1853998","9.8220089"
"Thuringia","50.7333163","11.0747905"
