Bundesland,Cases,Date
Schleswig-Holstein,0,2020-01-28
Schleswig-Holstein,0,2020-01-29
Schleswig-Holstein,0,2020-01-31
Schleswig-Holstein,0,2020-02-03
Schleswig-Holstein,0,2020-02-04
Schleswig-Holstein,0,2020-02-06
Schleswig-Holstein,0,2020-02-07
Schleswig-Holstein,0,2020-02-11
Schleswig-Holstein,0,2020-02-12
Schleswig-Holstein,0,2020-02-20
Schleswig-Holstein,0,2020-02-24
Schleswig-Holstein,0,2020-02-25
Schleswig-Holstein,0,2020-02-26
Schleswig-Holstein,0,2020-02-27
Schleswig-Holstein,1,2020-02-28
Schleswig-Holstein,1,2020-02-29
Schleswig-Holstein,0,2020-03-01
Schleswig-Holstein,2,2020-03-02
Schleswig-Holstein,1,2020-03-03
Schleswig-Holstein,0,2020-03-04
Schleswig-Holstein,1,2020-03-05
Schleswig-Holstein,2,2020-03-06
Schleswig-Holstein,0,2020-03-07
Schleswig-Holstein,1,2020-03-08
Schleswig-Holstein,3,2020-03-09
Schleswig-Holstein,7,2020-03-10
Schleswig-Holstein,19,2020-03-11
Schleswig-Holstein,18,2020-03-12
Schleswig-Holstein,27,2020-03-13
Schleswig-Holstein,24,2020-03-14
Schleswig-Holstein,21,2020-03-15
Schleswig-Holstein,29,2020-03-16
Schleswig-Holstein,46,2020-03-17
Schleswig-Holstein,53,2020-03-18
Schleswig-Holstein,60,2020-03-19
Schleswig-Holstein,78,2020-03-20
Schleswig-Holstein,45,2020-03-21
Schleswig-Holstein,34,2020-03-22
Schleswig-Holstein,94,2020-03-23
Schleswig-Holstein,100,2020-03-24
Schleswig-Holstein,87,2020-03-25
Schleswig-Holstein,96,2020-03-26
Schleswig-Holstein,117,2020-03-27
Schleswig-Holstein,82,2020-03-28
Schleswig-Holstein,43,2020-03-29
Schleswig-Holstein,78,2020-03-30
Schleswig-Holstein,104,2020-03-31
Schleswig-Holstein,103,2020-04-01
Schleswig-Holstein,112,2020-04-02
Schleswig-Holstein,112,2020-04-03
Schleswig-Holstein,69,2020-04-04
Schleswig-Holstein,36,2020-04-05
Schleswig-Holstein,61,2020-04-06
Schleswig-Holstein,112,2020-04-07
Schleswig-Holstein,90,2020-04-08
Schleswig-Holstein,92,2020-04-09
Schleswig-Holstein,34,2020-04-10
Schleswig-Holstein,41,2020-04-11
Schleswig-Holstein,16,2020-04-12
Schleswig-Holstein,98,2020-04-13
Schleswig-Holstein,17,2020-04-14
Schleswig-Holstein,42,2020-04-15
Schleswig-Holstein,51,2020-04-16
Schleswig-Holstein,40,2020-04-17
Schleswig-Holstein,25,2020-04-18
Schleswig-Holstein,9,2020-04-19
Schleswig-Holstein,28,2020-04-20
Schleswig-Holstein,38,2020-04-21
Schleswig-Holstein,35,2020-04-22
Schleswig-Holstein,40,2020-04-23
Schleswig-Holstein,39,2020-04-24
Schleswig-Holstein,16,2020-04-25
Schleswig-Holstein,6,2020-04-26
Schleswig-Holstein,13,2020-04-27
Schleswig-Holstein,21,2020-04-28
Schleswig-Holstein,18,2020-04-29
Schleswig-Holstein,19,2020-04-30
Schleswig-Holstein,13,2020-05-01
Schleswig-Holstein,11,2020-05-02
Schleswig-Holstein,49,2020-05-03
Schleswig-Holstein,14,2020-05-04
Schleswig-Holstein,49,2020-05-05
