data,codice_regione,denominazione_regione,nuovi_positivi
2020-02-24 18:00:00,13,Abruzzo,0
2020-02-24 18:00:00,17,Basilicata,0
2020-02-24 18:00:00,21,P.A. Bolzano,0
2020-02-24 18:00:00,18,Calabria,0
2020-02-24 18:00:00,15,Campania,0
2020-02-24 18:00:00,8,Emilia-Romagna,18
2020-02-24 18:00:00,6,Friuli Venezia Giulia,0
2020-02-24 18:00:00,12,Lazio,2
2020-02-24 18:00:00,7,Liguria,0
2020-02-24 18:00:00,3,Lombardia,166
2020-02-24 18:00:00,11,Marche,0
2020-02-24 18:00:00,14,Molise,0
2020-02-24 18:00:00,1,Piemonte,3
2020-02-24 18:00:00,16,Puglia,0
2020-02-24 18:00:00,20,Sardegna,0
2020-02-24 18:00:00,19,Sicilia,0
2020-02-24 18:00:00,9,Toscana,0
2020-02-24 18:00:00,22,P.A. Trento,0
2020-02-24 18:00:00,10,Umbria,0
2020-02-24 18:00:00,2,Valle d'Aosta,0
2020-02-24 18:00:00,5,Veneto,32
2020-02-25 18:00:00,13,Abruzzo,0
2020-02-25 18:00:00,17,Basilicata,0
2020-02-25 18:00:00,21,P.A. Bolzano,1
2020-02-25 18:00:00,18,Calabria,0
2020-02-25 18:00:00,15,Campania,0
2020-02-25 18:00:00,8,Emilia-Romagna,8
2020-02-25 18:00:00,6,Friuli Venezia Giulia,0
2020-02-25 18:00:00,12,Lazio,0
2020-02-25 18:00:00,7,Liguria,1
2020-02-25 18:00:00,3,Lombardia,68
2020-02-25 18:00:00,11,Marche,0
2020-02-25 18:00:00,14,Molise,0
2020-02-25 18:00:00,1,Piemonte,0
2020-02-25 18:00:00,16,Puglia,0
2020-02-25 18:00:00,20,Sardegna,0
2020-02-25 18:00:00,19,Sicilia,3
2020-02-25 18:00:00,9,Toscana,2
2020-02-25 18:00:00,22,P.A. Trento,0
2020-02-25 18:00:00,10,Umbria,0
2020-02-25 18:00:00,2,Valle d'Aosta,0
2020-02-25 18:00:00,5,Veneto,10
2020-02-26 18:00:00,13,Abruzzo,0
2020-02-26 18:00:00,17,Basilicata,0
2020-02-26 18:00:00,21,P.A. Bolzano,0
2020-02-26 18:00:00,18,Calabria,0
2020-02-26 18:00:00,15,Campania,0
2020-02-26 18:00:00,8,Emilia-Romagna,21
2020-02-26 18:00:00,6,Friuli Venezia Giulia,0
2020-02-26 18:00:00,12,Lazio,0
2020-02-26 18:00:00,7,Liguria,10
2020-02-26 18:00:00,3,Lombardia,18
2020-02-26 18:00:00,11,Marche,1
2020-02-26 18:00:00,14,Molise,0
2020-02-26 18:00:00,1,Piemonte,0
2020-02-26 18:00:00,16,Puglia,0
2020-02-26 18:00:00,20,Sardegna,0
2020-02-26 18:00:00,19,Sicilia,0
2020-02-26 18:00:00,9,Toscana,0
2020-02-26 18:00:00,22,P.A. Trento,0
2020-02-26 18:00:00,10,Umbria,0
2020-02-26 18:00:00,2,Valle d'Aosta,0
2020-02-26 18:00:00,5,Veneto,28
2020-02-27 18:00:00,13,Abruzzo,1
2020-02-27 18:00:00,17,Basilicata,0
2020-02-27 18:00:00,21,P.A. Bolzano,0
2020-02-27 18:00:00,18,Calabria,0
2020-02-27 18:00:00,15,Campania,3
2020-02-27 18:00:00,8,Emilia-Romagna,50
2020-02-27 18:00:00,6,Friuli Venezia Giulia,0
2020-02-27 18:00:00,12,Lazio,0
2020-02-27 18:00:00,7,Liguria,8
2020-02-27 18:00:00,3,Lombardia,145
2020-02-27 18:00:00,11,Marche,2
2020-02-27 18:00:00,14,Molise,0
2020-02-27 18:00:00,1,Piemonte,-1
2020-02-27 18:00:00,16,Puglia,1
2020-02-27 18:00:00,20,Sardegna,0
2020-02-27 18:00:00,19,Sicilia,1
2020-02-27 18:00:00,9,Toscana,0
2020-02-27 18:00:00,22,P.A. Trento,0
2020-02-27 18:00:00,10,Umbria,0
2020-02-27 18:00:00,2,Valle d'Aosta,0
2020-02-27 18:00:00,5,Veneto,40
2020-02-28 18:00:00,13,Abruzzo,0
2020-02-28 18:00:00,17,Basilicata,0
2020-02-28 18:00:00,21,P.A. Bolzano,0
2020-02-28 18:00:00,18,Calabria,1
2020-02-28 18:00:00,15,Campania,1
2020-02-28 18:00:00,8,Emilia-Romagna,48
2020-02-28 18:00:00,6,Friuli Venezia Giulia,0
2020-02-28 18:00:00,12,Lazio,0
2020-02-28 18:00:00,7,Liguria,0
2020-02-28 18:00:00,3,Lombardia,128
2020-02-28 18:00:00,11,Marche,3
2020-02-28 18:00:00,14,Molise,0
2020-02-28 18:00:00,1,Piemonte,9
2020-02-28 18:00:00,16,Puglia,2
2020-02-28 18:00:00,20,Sardegna,0
2020-02-28 18:00:00,19,Sicilia,0
2020-02-28 18:00:00,9,Toscana,6
2020-02-28 18:00:00,22,P.A. Trento,0
2020-02-28 18:00:00,10,Umbria,0
2020-02-28 18:00:00,2,Valle d'Aosta,0
2020-02-28 18:00:00,5,Veneto,40
2020-02-29 17:00:00,13,Abruzzo,1
2020-02-29 17:00:00,17,Basilicata,0
2020-02-29 17:00:00,21,P.A. Bolzano,0
2020-02-29 17:00:00,18,Calabria,0
2020-02-29 17:00:00,15,Campania,9
2020-02-29 17:00:00,8,Emilia-Romagna,72
2020-02-29 17:00:00,6,Friuli Venezia Giulia,0
2020-02-29 17:00:00,12,Lazio,3
2020-02-29 17:00:00,7,Liguria,23
2020-02-29 17:00:00,3,Lombardia,84
2020-02-29 17:00:00,11,Marche,5
2020-02-29 17:00:00,14,Molise,0
2020-02-29 17:00:00,1,Piemonte,0
2020-02-29 17:00:00,16,Puglia,0
2020-02-29 17:00:00,20,Sardegna,0
2020-02-29 17:00:00,19,Sicilia,0
2020-02-29 17:00:00,9,Toscana,3
2020-02-29 17:00:00,22,P.A. Trento,0
2020-02-29 17:00:00,10,Umbria,0
2020-02-29 17:00:00,2,Valle d'Aosta,0
2020-02-29 17:00:00,5,Veneto,40
2020-03-01 17:00:00,13,Abruzzo,3
2020-03-01 17:00:00,17,Basilicata,0
2020-03-01 17:00:00,21,P.A. Bolzano,0
2020-03-01 17:00:00,18,Calabria,0
2020-03-01 17:00:00,15,Campania,4
2020-03-01 17:00:00,8,Emilia-Romagna,68
2020-03-01 17:00:00,6,Friuli Venezia Giulia,6
2020-03-01 17:00:00,12,Lazio,0
2020-03-01 17:00:00,7,Liguria,-17
2020-03-01 17:00:00,3,Lombardia,369
2020-03-01 17:00:00,11,Marche,14
2020-03-01 17:00:00,14,Molise,0
2020-03-01 17:00:00,1,Piemonte,38
2020-03-01 17:00:00,16,Puglia,0
2020-03-01 17:00:00,20,Sardegna,0
2020-03-01 17:00:00,19,Sicilia,5
2020-03-01 17:00:00,9,Toscana,2
2020-03-01 17:00:00,22,P.A. Trento,0
2020-03-01 17:00:00,10,Umbria,2
2020-03-01 17:00:00,2,Valle d'Aosta,0
2020-03-01 17:00:00,5,Veneto,72
2020-03-02 18:00:00,13,Abruzzo,0
2020-03-02 18:00:00,17,Basilicata,0
2020-03-02 18:00:00,21,P.A. Bolzano,0
2020-03-02 18:00:00,18,Calabria,0
2020-03-02 18:00:00,15,Campania,0
2020-03-02 18:00:00,8,Emilia-Romagna,50
2020-03-02 18:00:00,6,Friuli Venezia Giulia,3
2020-03-02 18:00:00,12,Lazio,1
2020-03-02 18:00:00,7,Liguria,-3
2020-03-02 18:00:00,3,Lombardia,270
2020-03-02 18:00:00,11,Marche,10
2020-03-02 18:00:00,14,Molise,0
2020-03-02 18:00:00,1,Piemonte,2
2020-03-02 18:00:00,16,Puglia,1
2020-03-02 18:00:00,20,Sardegna,0
2020-03-02 18:00:00,19,Sicilia,-2
2020-03-02 18:00:00,9,Toscana,0
2020-03-02 18:00:00,22,P.A. Trento,0
2020-03-02 18:00:00,10,Umbria,0
2020-03-02 18:00:00,2,Valle d'Aosta,0
2020-03-02 18:00:00,5,Veneto,10
2020-03-03 18:00:00,13,Abruzzo,1
2020-03-03 18:00:00,17,Basilicata,1
2020-03-03 18:00:00,21,P.A. Bolzano,0
2020-03-03 18:00:00,18,Calabria,0
2020-03-03 18:00:00,15,Campania,13
2020-03-03 18:00:00,8,Emilia-Romagna,85
2020-03-03 18:00:00,6,Friuli Venezia Giulia,4
2020-03-03 18:00:00,12,Lazio,7
2020-03-03 18:00:00,7,Liguria,2
2020-03-03 18:00:00,3,Lombardia,266
2020-03-03 18:00:00,11,Marche,26
2020-03-03 18:00:00,14,Molise,3
2020-03-03 18:00:00,1,Piemonte,5
2020-03-03 18:00:00,16,Puglia,2
2020-03-03 18:00:00,20,Sardegna,1
2020-03-03 18:00:00,19,Sicilia,0
2020-03-03 18:00:00,9,Toscana,6
2020-03-03 18:00:00,22,P.A. Trento,4
2020-03-03 18:00:00,10,Umbria,6
2020-03-03 18:00:00,2,Valle d'Aosta,0
2020-03-03 18:00:00,5,Veneto,34
2020-03-04 17:00:00,13,Abruzzo,1
2020-03-04 17:00:00,17,Basilicata,0
2020-03-04 17:00:00,21,P.A. Bolzano,0
2020-03-04 17:00:00,18,Calabria,0
2020-03-04 17:00:00,15,Campania,1
2020-03-04 17:00:00,8,Emilia-Romagna,124
2020-03-04 17:00:00,6,Friuli Venezia Giulia,5
2020-03-04 17:00:00,12,Lazio,16
2020-03-04 17:00:00,7,Liguria,2
2020-03-04 17:00:00,3,Lombardia,300
2020-03-04 17:00:00,11,Marche,23
2020-03-04 17:00:00,14,Molise,0
2020-03-04 17:00:00,1,Piemonte,26
2020-03-04 17:00:00,16,Puglia,3
2020-03-04 17:00:00,20,Sardegna,1
2020-03-04 17:00:00,19,Sicilia,11
2020-03-04 17:00:00,9,Toscana,19
2020-03-04 17:00:00,22,P.A. Trento,1
2020-03-04 17:00:00,10,Umbria,1
2020-03-04 17:00:00,2,Valle d'Aosta,0
2020-03-04 17:00:00,5,Veneto,53
2020-03-05 17:00:00,13,Abruzzo,1
2020-03-05 17:00:00,17,Basilicata,0
2020-03-05 17:00:00,21,P.A. Bolzano,0
2020-03-05 17:00:00,18,Calabria,1
2020-03-05 17:00:00,15,Campania,14
2020-03-05 17:00:00,8,Emilia-Romagna,154
2020-03-05 17:00:00,6,Friuli Venezia Giulia,3
2020-03-05 17:00:00,12,Lazio,14
2020-03-05 17:00:00,7,Liguria,2
2020-03-05 17:00:00,3,Lombardia,431
2020-03-05 17:00:00,11,Marche,40
2020-03-05 17:00:00,14,Molise,4
2020-03-05 17:00:00,1,Piemonte,26
2020-03-05 17:00:00,16,Puglia,5
2020-03-05 17:00:00,20,Sardegna,0
2020-03-05 17:00:00,19,Sicilia,0
2020-03-05 17:00:00,9,Toscana,23
2020-03-05 17:00:00,22,P.A. Trento,2
2020-03-05 17:00:00,10,Umbria,0
2020-03-05 17:00:00,2,Valle d'Aosta,2
2020-03-05 17:00:00,5,Veneto,47
2020-03-06 17:00:00,13,Abruzzo,1
2020-03-06 17:00:00,17,Basilicata,2
2020-03-06 17:00:00,21,P.A. Bolzano,3
2020-03-06 17:00:00,18,Calabria,2
2020-03-06 17:00:00,15,Campania,12
2020-03-06 17:00:00,8,Emilia-Romagna,172
2020-03-06 17:00:00,6,Friuli Venezia Giulia,10
2020-03-06 17:00:00,12,Lazio,10
2020-03-06 17:00:00,7,Liguria,4
2020-03-06 17:00:00,3,Lombardia,361
2020-03-06 17:00:00,11,Marche,35
2020-03-06 17:00:00,14,Molise,5
2020-03-06 17:00:00,1,Piemonte,35
2020-03-06 17:00:00,16,Puglia,3
2020-03-06 17:00:00,20,Sardegna,3
2020-03-06 17:00:00,19,Sicilia,6
2020-03-06 17:00:00,9,Toscana,18
2020-03-06 17:00:00,22,P.A. Trento,3
2020-03-06 17:00:00,10,Umbria,7
2020-03-06 17:00:00,2,Valle d'Aosta,5
2020-03-06 17:00:00,5,Veneto,81
