Statistikdatum,Region,Cases
2020-02-05,Blekinge,0
2020-02-06,Blekinge,0
2020-02-07,Blekinge,0
2020-02-08,Blekinge,0
2020-02-09,Blekinge,0
2020-02-10,Blekinge,0
2020-02-11,Blekinge,0
2020-02-12,Blekinge,0
2020-02-13,Blekinge,0
2020-02-14,Blekinge,0
2020-02-15,Blekinge,0
2020-02-16,Blekinge,0
2020-02-17,Blekinge,0
2020-02-18,Blekinge,0
2020-02-19,Blekinge,0
2020-02-20,Blekinge,0
2020-02-21,Blekinge,0
2020-02-22,Blekinge,0
2020-02-23,Blekinge,0
2020-02-24,Blekinge,0
2020-02-25,Blekinge,0
2020-02-26,Blekinge,0
2020-02-27,Blekinge,0
2020-02-28,Blekinge,0
2020-02-29,Blekinge,0
2020-03-01,Blekinge,0
2020-03-02,Blekinge,0
2020-03-03,Blekinge,0
2020-03-04,Blekinge,0
2020-03-05,Blekinge,0
2020-03-06,Blekinge,0
2020-03-07,Blekinge,0
2020-03-08,Blekinge,0
2020-03-09,Blekinge,0
2020-03-10,Blekinge,1
2020-03-11,Blekinge,6
2020-03-12,Blekinge,2
2020-03-13,Blekinge,0
2020-03-14,Blekinge,0
2020-03-15,Blekinge,1
2020-03-16,Blekinge,0
2020-03-17,Blekinge,1
2020-03-18,Blekinge,1
2020-03-19,Blekinge,0
2020-03-20,Blekinge,0
2020-03-21,Blekinge,0
2020-03-22,Blekinge,0
2020-03-23,Blekinge,0
2020-03-24,Blekinge,0
2020-03-25,Blekinge,3
2020-03-26,Blekinge,0
2020-03-27,Blekinge,2
2020-03-28,Blekinge,0
2020-03-29,Blekinge,4
2020-03-30,Blekinge,0
2020-03-31,Blekinge,1
2020-04-01,Blekinge,5
2020-04-02,Blekinge,3
2020-04-03,Blekinge,1
2020-04-04,Blekinge,4
2020-04-05,Blekinge,1
2020-04-06,Blekinge,0
2020-04-07,Blekinge,1
2020-04-08,Blekinge,2
2020-04-09,Blekinge,1
2020-04-10,Blekinge,1
2020-04-11,Blekinge,0
2020-04-12,Blekinge,1
2020-04-13,Blekinge,0
2020-04-14,Blekinge,1
2020-04-15,Blekinge,0
2020-04-16,Blekinge,0
2020-04-17,Blekinge,0
2020-04-18,Blekinge,0
2020-04-19,Blekinge,0
2020-04-20,Blekinge,1
2020-04-21,Blekinge,4
2020-04-22,Blekinge,6
2020-04-23,Blekinge,2
2020-04-24,Blekinge,7
2020-04-25,Blekinge,0
2020-04-26,Blekinge,1
2020-04-27,Blekinge,0
2020-04-28,Blekinge,3
2020-04-29,Blekinge,6
2020-04-30,Blekinge,0
2020-05-01,Blekinge,0
2020-05-02,Blekinge,1
2020-05-03,Blekinge,0
2020-05-04,Blekinge,0
2020-05-05,Blekinge,3
2020-05-06,Blekinge,1
2020-05-07,Blekinge,2
2020-05-08,Blekinge,4
2020-05-09,Blekinge,1
2020-05-10,Blekinge,0
2020-05-11,Blekinge,0
2020-05-12,Blekinge,4
2020-05-13,Blekinge,3
2020-05-14,Blekinge,2
2020-05-15,Blekinge,6
2020-05-16,Blekinge,2
2020-05-17,Blekinge,1
2020-05-18,Blekinge,0
2020-05-19,Blekinge,6
2020-05-20,Blekinge,23
2020-05-21,Blekinge,0
2020-05-22,Blekinge,10
2020-05-23,Blekinge,2
2020-05-24,Blekinge,3
2020-05-25,Blekinge,3
2020-05-26,Blekinge,12
2020-05-27,Blekinge,19
2020-05-28,Blekinge,11
2020-05-29,Blekinge,10
2020-05-30,Blekinge,6
2020-05-31,Blekinge,7
2020-06-01,Blekinge,3
2020-06-02,Blekinge,18
2020-06-03,Blekinge,18
2020-06-04,Blekinge,10
2020-06-05,Blekinge,10
2020-06-06,Blekinge,5
2020-06-07,Blekinge,18
2020-06-08,Blekinge,10
2020-06-09,Blekinge,9
2020-06-10,Blekinge,1
2020-06-11,Blekinge,26
2020-06-12,Blekinge,14
2020-06-13,Blekinge,12
2020-06-14,Blekinge,10
2020-06-15,Blekinge,3
2020-06-16,Blekinge,7
2020-06-17,Blekinge,13
2020-06-18,Blekinge,6
2020-06-19,Blekinge,5
2020-06-20,Blekinge,4
2020-06-21,Blekinge,0
2020-06-22,Blekinge,0
2020-06-23,Blekinge,8
2020-06-24,Blekinge,5
2020-06-25,Blekinge,6
2020-06-26,Blekinge,3
2020-06-27,Blekinge,3
2020-06-28,Blekinge,2
2020-06-29,Blekinge,0
2020-06-30,Blekinge,3
2020-07-01,Blekinge,2
2020-07-02,Blekinge,3
2020-07-03,Blekinge,8
2020-07-04,Blekinge,0
2020-07-05,Blekinge,0
2020-07-06,Blekinge,2
2020-07-07,Blekinge,3
2020-07-08,Blekinge,2
2020-07-09,Blekinge,3
2020-07-10,Blekinge,0
2020-07-11,Blekinge,1
2020-07-12,Blekinge,0
2020-07-13,Blekinge,2
2020-07-14,Blekinge,2
2020-07-15,Blekinge,1
2020-07-16,Blekinge,2
2020-07-17,Blekinge,0
2020-07-18,Blekinge,1
2020-07-19,Blekinge,0
2020-07-20,Blekinge,0
2020-07-21,Blekinge,0
2020-07-22,Blekinge,1
2020-07-23,Blekinge,0
2020-07-24,Blekinge,1
2020-07-25,Blekinge,1
2020-07-26,Blekinge,0
2020-07-27,Blekinge,1
2020-07-28,Blekinge,4
2020-07-29,Blekinge,1
2020-07-30,Blekinge,2
2020-07-31,Blekinge,2
2020-08-01,Blekinge,1
2020-08-02,Blekinge,0
2020-08-03,Blekinge,1
2020-08-04,Blekinge,9
2020-08-05,Blekinge,2
2020-08-06,Blekinge,7
2020-08-07,Blekinge,9
2020-08-08,Blekinge,4
2020-08-09,Blekinge,1
2020-08-10,Blekinge,7
2020-08-11,Blekinge,11
2020-08-12,Blekinge,10
2020-08-13,Blekinge,9
2020-08-14,Blekinge,4
2020-08-15,Blekinge,4
2020-08-16,Blekinge,1
2020-08-17,Blekinge,1
2020-08-18,Blekinge,2
2020-08-19,Blekinge,11
2020-08-20,Blekinge,3
2020-08-21,Blekinge,3
2020-08-22,Blekinge,2
2020-08-23,Blekinge,0
2020-08-24,Blekinge,0
2020-08-25,Blekinge,2
2020-08-26,Blekinge,4
2020-08-27,Blekinge,1
2020-08-28,Blekinge,6
2020-08-29,Blekinge,2
2020-08-30,Blekinge,0
2020-08-31,Blekinge,0
2020-09-01,Blekinge,1
2020-09-02,Blekinge,0
2020-09-03,Blekinge,0
2020-09-04,Blekinge,1
2020-09-05,Blekinge,0
